meta$Population	meta$Locacion	pop	V1	V2	V3	V4	V5	V6	V7
Feral	Altotonga	Feral	0.085767	0.848114	1e-05	0.066078	1e-05	1e-05	1e-05
Feral	Altotonga	Feral	0.168471	0.78817	1e-05	0.04332	1e-05	1e-05	1e-05
Feral	Altotonga	Feral	0.126	0.868317	1e-05	0.005643	1e-05	1e-05	1e-05
Feral	Altotonga	Feral	0.114767	0.869005	1e-05	0.016188	1e-05	1e-05	1e-05
Feral	Altotonga	Feral	0.093444	0.878501	1e-05	0.028016	1e-05	1e-05	1e-05
Feral	Altotonga	Feral	0.133702	0.827827	1e-05	0.038431	1e-05	1e-05	1e-05
Wild-SUR-O	Comaltepec	Wild-SUR-O	1.4e-05	1e-05	0.999931	1e-05	1.5e-05	1e-05	1e-05
Wild-SUR-O	Comaltepec	Wild-SUR-O	1.1e-05	1e-05	0.999939	1e-05	1e-05	1e-05	1e-05
Wild-SUR-O	Comaltepec	Wild-SUR-O	1e-05	1e-05	0.99993	2e-05	1e-05	1e-05	1e-05
Wild-SUR-O	Comaltepec	Wild-SUR-O	1e-05	1e-05	0.99994	1e-05	1e-05	1e-05	1e-05
Cult-TMVB	FrijolColorado	Cult-TMVB	0.891262	0.039855	1e-05	0.039581	0.015669	0.013613	1e-05
Cult-TMVB	FrijolColorado	Cult-TMVB	0.885875	0.02341	1e-05	0.06031	0.026085	0.0043	1e-05
Cult-TMVB	FrijolColorado	Cult-TMVB	0.89933	0.026515	1e-05	0.037604	0.036522	1e-05	1e-05
Cult-TMVB	FrijolColorado	Cult-TMVB	0.918093	0.01583	1e-05	0.052118	0.013928	1e-05	1e-05
Feral	Huautla	Feral	0.036609	0.852735	1e-05	0.035725	0.0749	1e-05	1e-05
Feral	Huautla	Feral	0.015891	0.887754	1e-05	0.047001	0.049324	1e-05	1e-05
Feral	Huautla	Feral	0.027541	0.925056	1e-05	0.036332	0.011042	1e-05	1e-05
Feral	Huautla	Feral	0.041843	0.912813	1.5e-05	0.045298	1e-05	1e-05	1e-05
Feral	Huautla	Feral	1e-05	0.908614	1e-05	0.052823	0.038523	1e-05	1e-05
Feral	Huautla	Feral	0.045883	0.886275	1e-05	0.059371	0.008442	1e-05	1e-05
Feral	Huautla	Feral	0.043465	0.848846	1e-05	0.055779	0.05188	1e-05	1e-05
Feral	Huautla	Feral	0.017953	0.90507	1e-05	0.041834	0.035114	1e-05	1e-05
Cult-TMVB-Spain	Espana	Cult-TMVB-Spain	0.99994	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05
Cult-TMVB-Spain	Espana	Cult-TMVB-Spain	0.99994	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05
Cult-TMVB-Spain	Espana	Cult-TMVB-Spain	0.99994	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05
Cult-TMVB-Spain	Espana	Cult-TMVB-Spain	0.99994	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05
Cult-TMVB-Spain	Espana	Cult-TMVB-Spain	0.99994	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05
Cult-TMVB-Spain	Espana	Cult-TMVB-Spain	0.99994	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05
Cult-TMVB-Spain	Espana	Cult-TMVB-Spain	0.99994	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05
Cult-TMVB-Spain	Espana	Cult-TMVB-Spain	0.999934	1e-05	1.5e-05	1.1e-05	1e-05	1e-05	1e-05
Cult-TMVB	OrillaDelMonte	Cult-TMVB	0.900467	0.024276	1e-05	0.04664	0.02142	0.007177	1e-05
Cult-TMVB	OrillaDelMonte	Cult-TMVB	0.899657	0.034659	1e-05	0.065644	1e-05	1e-05	1e-05
Cult-TMVB	OrillaDelMonte	Cult-TMVB	0.859811	0.04347	1e-05	0.057603	0.019242	0.019855	1e-05
Cult-TMVB	OrillaDelMonte	Cult-TMVB	0.855541	0.051686	1e-05	0.039482	0.043548	0.009724	1e-05
Cult-TMVB	OrillaDelMonte	Cult-TMVB	0.893956	0.02808	1e-05	0.058096	0.019838	1e-05	1e-05
