Population	Locacion	ClusterAdmix7	V1	V2	V3	V4	V5	V6	V7
Wild-SUR-O	Comaltepec	Wild-SUR	1.4E-05	1E-05	0.999931	1E-05	1.5E-05	1E-05	1E-05
Wild-SUR-O	Comaltepec	Wild-SUR	1.1E-05	1E-05	0.999939	1E-05	1E-05	1E-05	1E-05
Wild-SUR-O	Comaltepec	Wild-SUR	1E-05	1E-05	0.99993	2E-05	1E-05	1E-05	1E-05
Wild-SUR-O	Comaltepec	Wild-SUR	1E-05	1E-05	0.99994	1E-05	1E-05	1E-05	1E-05
Wild-SUR-CH	SanCristobal	Wild-SUR	5.1E-05	0.222067	0.749037	0.028814	1E-05	1E-05	1E-05
Wild-SUR-CH	SanCristobal	Wild-SUR	1E-05	1E-05	0.99994	1E-05	1E-05	1E-05	1E-05
Wild-SUR-CH	SanCristobal	Wild-SUR	1E-05	1E-05	0.999933	1.7E-05	1E-05	1E-05	1E-05
Wild-SUR-CH	SanCristobal	Wild-SUR	1.7E-05	1E-05	0.999933	1E-05	1E-05	1E-05	1E-05
Wild-SUR-CH	SanCristobal	Wild-SUR	0.04023	0.185504	0.754893	0.019341	1E-05	1.2E-05	1E-05
Wild-SUR-CH	SanCristobal	Wild-SUR	1E-05	1E-05	0.99994	1E-05	1E-05	1E-05	1E-05
Wild-SMOCC-EspDia	EspinazoDiablo	Wild-SMOCC	1E-05	1E-05	1E-05	1E-05	1E-05	1E-05	0.99994
Wild-SMOCC-EspDia	EspinazoDiablo	Wild-SMOCC	1E-05	1E-05	1E-05	1E-05	1E-05	1E-05	0.99994
Wild-SMOCC-EspDia	EspinazoDiablo	Wild-SMOCC	1E-05	1E-05	1E-05	1E-05	1E-05	1E-05	0.99994
Wild-SMOCC-EspDia	EspinazoDiablo	Wild-SMOCC	1E-05	0.103465	1E-05	1E-05	1E-05	1E-05	0.896485
Wild-SMOCC-EspDia	EspinazoDiablo	Wild-SMOCC	1E-05	1E-05	1E-05	1E-05	1E-05	1E-05	0.99994
Wild-SMOCC-EspDia	EspinazoDiablo	Wild-SMOCC	1E-05	1E-05	1E-05	1E-05	1E-05	1E-05	0.99994
Wild-SMOCC-EspDia	EspinazoDiablo	Wild-SMOCC	1E-05	1E-05	1E-05	1E-05	1.4E-05	1E-05	0.999936
Wild-SMOCC-EspDia	EspinazoDiablo	Wild-SMOCC	1E-05	1E-05	1E-05	1E-05	1E-05	1E-05	0.99994
Wild-SMOCC-EspDia	EspinazoDiablo	Wild-SMOCC	1E-05	1E-05	1E-05	1E-05	1E-05	1E-05	0.99994
Wild-SMOCC-EspDia	EspinazoDiablo	Wild-SMOCC	1.1E-05	1E-05	1.2E-05	1E-05	1E-05	1E-05	0.999936
Wild-SMOCC-EspDia	EspinazoDiablo	Wild-SMOCC	1E-05	1E-05	1E-05	1E-05	1E-05	1E-05	0.99994
Wild-SMOCC-Rego	Regocijo-S	Wild-SMOCC	0.474916	1E-05	1E-05	1E-05	1E-05	1E-05	0.525034
Wild-SMOCC-Rego	Regocijo-S	Wild-SMOCC	1E-05	1E-05	1E-05	1E-05	1E-05	1E-05	0.99994
Wild-SMOCC-Rego	Regocijo-S	Wild-SMOCC	1E-05	1E-05	1E-05	0.023079	1E-05	1E-05	0.976871
Wild-SMOCC-Rego	Regocijo-S	Wild-SMOCC	0.027865	1E-05	1E-05	0.047675	1E-05	1E-05	0.92442
Wild-SMOCC-Rego	Regocijo-S	Wild-SMOCC	0.030474	1E-05	1E-05	1E-05	1E-05	1E-05	0.969476
Wild-SMOCC-Rego	Regocijo-S	Wild-SMOCC	1E-05	1E-05	1E-05	1.1E-05	1E-05	1E-05	0.999938
Wild-SMOCC-Rego	Regocijo-S	Wild-SMOCC	0.06395	1E-05	1E-05	1E-05	1E-05	1E-05	0.936
Wild-SMOCC-Rego	Regocijo-S	Wild-SMOCC	1E-05	1E-05	1E-05	0.037512	1E-05	1E-05	0.962438
Wild-SMOCC-Rego	Regocijo-S	Wild-SMOCC	0.089442	1E-05	1E-05	0.054236	1E-05	1E-05	0.856282
Wild-SMOCC-Rego	Regocijo-S	Wild-SMOCC	1E-05	1E-05	1E-05	0.057508	1E-05	1E-05	0.942442
Wild-SMOCC-Rego	Regocijo-S	Wild-SMOCC	1E-05	1E-05	1E-05	0.04496	1E-05	1E-05	0.95499
Wild-SMOCC-Rego	Regocijo-S	Wild-SMOCC	0.083717	1E-05	1E-05	0.005053	1E-05	1E-05	0.911189
Wild-TMVB-SanJoa	SanJoaquin	Wild-TMVB	1E-05	1E-05	0.398095	0.003326	0.598539	1E-05	1E-05
Wild-TMVB-SanJoa	SanJoaquin	Wild-TMVB	0.058579	1E-05	0.404471	0.018134	0.518786	1E-05	1E-05
Wild-TMVB-SanJoa	SanJoaquin	Wild-TMVB	0.004314	1E-05	0.404015	0.00762	0.584021	1E-05	1E-05
Wild-TMVB-SanJoa	SanJoaquin	Wild-TMVB	1E-05	1E-05	0.402604	0.018885	0.578471	1E-05	1E-05
Wild-TMVB-SanJoa	SanJoaquin	Wild-TMVB	1E-05	1E-05	0.421383	0.000668	0.577909	1E-05	1E-05
