Order	ID	Especie	Locacion	Estatus2	Fecha_colecta	Estado	Municipio	Latitud	Longitud	Altitud	Cluster-Admix	Population	Subset
1	AltoFe_1	P. coccineus	Altotonga	Feral	6-Sep-15	Veracruz	Altotonga	19.75333333	-97.25	1959	Cult-SUR-CH	Feral	Included
2	AltoFe_10	P. coccineus	Altotonga	Feral	6-Sep-15	Veracruz	Altotonga	19.75333333	-97.25	1959	Cult-SUR-CH	Feral	Excluded
3	AltoFe_3	P. coccineus	Altotonga	Feral	6-Sep-15	Veracruz	Altotonga	19.75333333	-97.25	1959	Cult-SUR-CH	Feral	Included
4	AltoFe_4	P. coccineus	Altotonga	Feral	6-Sep-15	Veracruz	Altotonga	19.75333333	-97.25	1959	Cult-SUR-CH	Feral	Excluded
5	AltoFe_5	P. coccineus	Altotonga	Feral	6-Sep-15	Veracruz	Altotonga	19.75333333	-97.25	1959	Cult-SUR-CH	Feral	Included
6	AltoFe_6	P. coccineus	Altotonga	Feral	6-Sep-15	Veracruz	Altotonga	19.75333333	-97.25	1959	Cult-SUR-CH	Feral	Excluded
7	AltoFe_7	P. coccineus	Altotonga	Feral	6-Sep-15	Veracruz	Altotonga	19.75333333	-97.25	1959	Cult-SUR-CH	Feral	Included
8	AltoFe_8	P. coccineus	Altotonga	Feral	6-Sep-15	Veracruz	Altotonga	19.75333333	-97.25	1959	Cult-SUR-CH	Feral	Included
9	AltoFe_9	P. coccineus	Altotonga	Feral	6-Sep-15	Veracruz	Altotonga	19.75333333	-97.25	1959	Cult-SUR-CH	Feral	Included
10	Comal_10	P. coccineus	Comaltepec	Wild	26-Oct-14	Oaxaca	Comaltepec	17.55211667	-96.5254	2876	Wild-SUR-CH	Wild-SUR-O	Included
11	Comal_14	P. coccineus	Comaltepec	Wild	27-Oct-14	Oaxaca	Comaltepec	17.55211667	-96.5254	2876	Wild-SUR-CH	Wild-SUR-O	Included
12	Comal_16c	P. coccineus	Comaltepec	Wild	28-Oct-14	Oaxaca	Comaltepec	17.55211667	-96.5254	2876	Wild-SUR-CH	Wild-SUR-O	Included
13	Comal_3	P. coccineus	Comaltepec	Wild	28-Oct-14	Oaxaca	Comaltepec	17.55211667	-96.5254	2876	Wild-SUR-CH	Wild-SUR-O	Included
